,Unnamed: 0,mol,smiles,pic50
96,96.0,CHEMBL2401958,CN1C(=O)C(CC(F)(F)F)N(CCC(F)(F)F)c2nc(-n3ccnc3-c3ccc(F)cc3)ncc21,5.458420756
97,97.0,CHEMBL4212641,COc1cccc(F)c1-c1ccnc(Nc2cccc(Cn3cnc4ccccc43)c2)n1,4.903089987
98,98.0,CHEMBL518968,CNC(=O)c1sc(-n2cnc3cc(OC)c(OC)cc32)cc1OCc1ccccc1C(F)(F)F,6.0
99,99.0,CHEMBL4170176,CCCCNS(=O)(=O)c1ccc(Nc2ncc3c(n2)N(C2CCCC2)[C@H](CC)C(=O)N3C)cc1,7.390405591
100,100.0,CHEMBL4171224,CC[C@@H]1C(=O)N(C)c2cnc(-n3ccc4cc(C(=O)NCC(C)C)ccc43)nc2N1C1CCCC1,6.915423722
101,101.0,CHEMBL2401960,CC(C)N1c2nc(-n3ccnc3-c3ccc(F)cc3)ncc2N(C)C(=O)C12CCC2,4.596879479
102,102.0,CHEMBL2036869,Cn1c(-c2ccnc(Nc3ccc(O)cc3)n2)nc2ccccc21,4.920818754
103,103.0,CHEMBL3987050,CNC(=O)c1cn(S(=O)(=O)c2ccccc2)c2ccccc12,3.425968732
104,104.0,CHEMBL477615,CCCOC(=O)/C(C#N)=c1\s/c(=C/Nc2ccc(O)cc2)c(=O)n1CC,7.443697499
105,105.0,CHEMBL1099106,CC(=O)c1ccc(Nc2ncc3c(n2)-c2c(c(C(N)=O)nn2C)CC3)cc1,6.705533774
106,106.0,CHEMBL498189,Cc1nn(-c2ccc(F)cc2)c2cc(N[C@@H](C)c3ccccc3)ncc12,5.489320969
107,107.0,CHEMBL591896,O=C1Cc2cnc3ccnn3c2-c2ncccc2N1,4.0
108,108.0,CHEMBL2402083,CC[C@@H]1C(=O)N(C)c2cnc(-c3cn[nH]c3-c3nccs3)nc2N1C1CCOCC1,6.602059991
109,109.0,CHEMBL526639,Cc1ccc(C(=O)NC2CC2)cc1-c1ccc2ccncc2c1,4.602059991
110,110.0,CHEMBL4209902,COc1cc(C(=O)NC2CCN(C)CC2)ccc1Nc1ncc2c(n1)N(C1CCCC1)[C@H](C)C(=O)N2C,8.958607315
111,111.0,CHEMBL2392556,C=CC[C@H]1CN(C2CCCC2)c2nc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)ncc2N(C)C1=O,9.0
112,112.0,CHEMBL4160611,CCCCNC(=O)c1ccc2c(ccn2-c2ncc3c(n2)N(C2CCCC2)[C@H](CC)C(=O)N3C)c1,6.791558644
113,113.0,CHEMBL2407914,O=C1Nc2ccc(Cl)cc2/C1=C\c1ccc2cn[nH]c2c1,5.0
114,114.0,CHEMBL1271535,CN1CCCC1CCNc1ccc(OC(F)(F)F)c(Nc2ncc3c(n2)-c2c(c(C(N)=O)nn2C)CC3)c1,6.866461092
115,115.0,CHEMBL1933576,CN1CCN(c2ccc(OC(F)(F)F)c(Nc3nccc(-c4cc(C(N)=O)cn4C)n3)c2)CC1,7.823908741
116,116.0,CHEMBL4449123,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NCCN(C)C)cc3OCCO)nc2N1C1CCCC1,7.419987887
117,117.0,CHEMBL1096095,Cn1nc(C(N)=O)c2c1-c1nc(Nc3ccccc3Oc3ccccc3)ncc1CC2,6.555955204
118,118.0,CHEMBL3104853,COCc1c(C)c(O)c(O)c(O)c1C=O,4.522878745
119,119.0,CHEMBL481492,Cc1ccccc1COc1cc(-n2cnc3cc(Cl)ccc32)sc1C(N)=O,7.677780705
